time,latitude,longitude,depth
2017-04-15 07:56:57.999995,-25.061237,-44.570194,548.5057
2017-04-15 07:57:58.000001,-25.061142,-44.57,555.00397
2017-04-15 07:58:57.999998,-25.061045,-44.5698,561.1613
2017-04-15 07:59:58.000004,-25.06095,-44.569603,567.1493
2017-04-15 08:00:58.000001,-25.060854,-44.56941,573.25336
2017-04-15 08:01:57.000002,-25.06076,-44.569214,579.455
2017-04-15 08:02:56.999999,-25.060663,-44.569016,585.77295
2017-04-15 08:03:56.999995,-25.060568,-44.568817,592.541
2017-04-15 08:04:55.999997,-25.060474,-44.568626,598.678
2017-04-15 08:05:56.000004,-25.060379,-44.56843,604.3753
2017-04-15 08:06:56.000000,-25.060282,-44.568233,610.0227
2017-04-15 08:07:55.999996,-25.060186,-44.56804,615.8566
2017-04-15 08:08:56.000003,-25.060091,-44.56784,621.51
2017-04-15 08:09:55.999999,-25.059996,-44.567642,627.14264
2017-04-15 08:10:55.000001,-25.0599,-44.567448,633.232
2017-04-15 08:11:54.999998,-25.059805,-44.567253,639.3658
2017-04-15 08:12:55.000004,-25.059708,-44.567055,645.544
2017-04-15 08:13:53.999996,-25.059614,-44.56686,651.39667
2017-04-15 08:14:54.000002,-25.059519,-44.56666,657.02203
2017-04-15 08:15:53.999999,-25.059422,-44.566467,662.77936
2017-04-15 08:16:53.999995,-25.059326,-44.56627,668.62585
2017-04-15 08:17:54.000002,-25.05923,-44.566074,674.24
2017-04-15 08:18:53.999998,-25.059135,-44.56588,680.026
2017-04-15 08:19:53.000000,-25.059042,-44.565685,685.78
2017-04-15 08:20:52.999996,-25.058947,-44.565487,692.04663
2017-04-15 08:21:53.000003,-25.058851,-44.565292,698.11005
2017-04-15 08:22:52.000005,-25.058756,-44.565098,704.476
2017-04-15 08:23:52.000001,-25.058659,-44.5649,711.11804
2017-04-15 08:24:51.999998,-25.058563,-44.564705,717.568
2017-04-15 08:25:52.000004,-25.058468,-44.564507,724.13403
2017-04-15 08:26:52.000000,-25.058372,-44.56431,730.725
2017-04-15 08:27:51.999997,-25.058277,-44.564114,737.194
2017-04-15 08:28:50.999999,-25.058182,-44.56392,743.7833
